"StationName","TypeofStation","Watershed","ConservationUnit","Coordinates","UsebyChinook","Existingdata","Access","Rationaleforinclusion","basin","subbasin","subbasin_name","subsubbasin","subsubbasin_name","wsc_station_number","status","seasonality","datum","latitude","longitude","notes","stationID","station_seriesID","station_seriesName"
"Yukon River at Policemans Point","Annual - Mainstem River","YR Upper Lakes","CK-69 Upper Yukon River","NAD 83 60 56.837 135 05.617","upstream migration past the Station by all documented upstream Upper Lakes Populations.","2011 - decommissioned June 1, 2015.",NA,"Station collected information on the thermal regime of the Yukon River above Lake Laberge.  A series of wet years resulted in sand building up in the inlet of the lake.  This was starting to cover the loggers.  Measures to mitigate this was unsuccessful. No locations were found to replace the loggers.  The Station was decommissioned.",9,"09A","headwaters yukon","09AB","headwaters yukon - lake laberge","","decommissioned","annual","NAD 83",60.94728333,-135.0936167,NA,"avf_09AB001","avf_09AB001","Yukon River at Policemans Point"
"McIntyre Creek below Mountainview Drive","Annual - Small stream","YR Upper Lakes","CK-69 Upper Yukon River","NAD 83 60 45.578 135 06.045","spawning.","May 4, 2011 - continuing.","by vehicle via Range Road.","McIntyre Creek is a small (wadable) spawning stream with regulated flows.   It supports the only Yukon River Chinook Salmon population that is known to have developed during the 20th century.  The capture of watershed area from the Ibex River by a hydro-electrical development in the early 1950s increased the effective size of the creeks watershed and allowed spawning.",9,"09A","headwaters yukon","09AB","headwaters yukon - lake laberge","","active","annual","NAD 83",60.75963333,-135.10075,NA,"avf_09AB002","avf_09AB002","McIntyre Creek below Mountainview Drive"
"Yukon River at Anson Bend","Annual - Mainstem","YR Upper Lakes","CK-69 Upper Yukon River","NAD 83  60 37.665 134 52.140","possible spawning.  Upstream migration to Mclintock River, Michie Creek and Byng Creek.","June 19, 2013 - continuing.","by boat from the Schwatka Lake East Boat Launch","This was the first Chinook Salmon spawning area in the Yukon to be documented by government workers. It was done so by George Dawson in 1887.  The population appears to have been negatively affected, and possibly extirpated, by dams at the outlet of Marsh Lake and at the Whitehorse Rapids.",9,"09A","headwaters yukon","09AB","headwaters yukon - lake laberge","","active","annual","NAD 83",60.62775,-134.869,NA,"avf_09AB003","avf_09AB003","Yukon River at Anson Bend"
"Ibex River at WSC Station","Annual - Small stream","YR Upper Lakes","CK-69 Upper Yukon River","NAD 83 60 43.539 135 29.175","Chinook Salmon spawn downstream.","July 4, 2013 - continuing.","by 4X4 or ATV via the Ibex River Road","The Ibex river is a small (wadable) stream.  The lower Ibex River has a small population of Chinook Salmon at present.  Local/traditional knowledge implies that the area of river used was significantly larger in the past and the stock size was considerably greater.   It is likely that there will be future interest in the watershed.  A complicating effect is that flows from a significant area of the Ibex River watershed are now diverted to Porter Creek and thence McIntyre Creek for the purposes of electrical power generation.",9,"09A","headwaters yukon","09AC","takhini","09AC007","active","annual","NAD 83",60.72565,-135.48625,NA,"avf_09AC001","avf_09AC001","Ibex River at WSC Station"
"Takhini River below Kusawa Lake","Annual - River, directly influenced by lake outlet","YR Upper Lakes","CK-69 Upper Yukon River","NAD 83 60 38.593 136 07.410","spawning.","October 1, 2012 - continuing.","by vehicle via the Kusawa Lake Road.","The Takhini River is a mid-sized river.  It is the only unregulated Chinook spawning river to receive significant input from actively melting glaciers.   Flows in rivers located downstream and mediated by lakes will be reduced, including the Takhini River below Kusawa Lake.",9,"09A","headwaters yukon","09AC","takhini","","active","annual","NAD 83",60.64321667,-136.1235,NA,"avf_09AC002","avf_09AC002","Takhini River below Kusawa Lake"
"Teslin River at Hootalinqua","Annual - Mainstem River","YR Teslin River","CK-68 Teslin River Headwaters","NAD 83 61 35.154 134 55.856","Migration.","2011 - 2015","By boat from the Deep Creek Launch on Lake Laberge.","The Teslin River is a principal tributary of the Yukon River.  It is a major adult Chinook Salmon migration route.  The Station is downstream of all 21 documented spawning populations in the Teslin River Watershed.  The Station was difficult to service at high water levels.  It was replaced by Teslin River above Hootalinqua and is now operated as an Annual Station.",9,"09A","headwaters yukon","09AF","lower teslin","","decommissioned","annual","NAD 83",61.5859,-134.9309333,NA,"avf_09AF001","avf_09AF002","Teslin River above Hootalinqua"
"Teslin River above Hootalinqua","Annual - Mainstem River","YR Teslin River","CK-68 Teslin River Headwaters","NAD 83  61 34.047 134 53.949","Migration","June 27, 2016 - continuing.","By boat from the Deep Creek Launch on Lake Laberge.","The Teslin River is a principal tributary of the Yukon River.  It is a major adult Chinook Salmon migration route.  The Station is downstream of all 21 documented spawning rivers in the Teslin River Watershed and the portion of the mainstem used by spawning Chinook.  The Station was formerly Teslin River at Hootalinqua and was located at the confluence of the Yukon- and Teslin Rivers.  The Station was difficult to service at high water levels.  It was replaced with this Station and transitioned to an Annual Station.",9,"09A","headwaters yukon","09AF","lower teslin","","active","annual","NAD 83",61.56745,-134.89915,NA,"avf_09AF002","avf_09AF002","Teslin River above Hootalinqua"
"Tatchun River below Tatchun Lake","Annual - Small stream directly influenced by upstream lake.","YR Mid-Mainstem","CK-73 Yukon River Mid-Mainstem","NAD 83 62 17.216 136 14.316","spawning.","July 20, 2011 - continuing.","by vehicle via the Tatchun Lake Road.","The Tatchun River is small (wadable). It has significant lake storage.  It is typical of a number of highly productive Chinook Salmon spawning streams distributed across almost all Watersheds of the CYRB.  These streams often support very high densities of spawning Chinook Salmon.  They may have large spawning dune complexes.  They are vulnerable to direct effects of periods of summer low flow with associated high water temperatures. They are also subject to indirect effects such as beaver damming.  This causes obstructions to upstream migrating adult Chinook and backwatering of spawning areas.",9,"09A","headwaters yukon","09AH","headwaters yukon - nordenskiold","","active","annual","NAD 83",62.28693333,-136.2386,NA,"avf_09AH001","avf_09AH001","Tatchun River below Tatchun Lake"
"Tatchun River above Klondike Highway","Annual - small stream remotely influenced by lake outlet.","YR Mid-Mainstem","CK-73 Yukon River Mid-Mainstem","NAD 83  62 16.925 136 18.632","spawning.","August 29 2016 - continuing.","by vehicle from Klondike Highway","The Tatchun River is described above in the Station description for Tatchun River downstream of Tatchun Lake. The lake outlet Station is located at the effective upstream limit of Chinook spawning.  This Station is located at the effective downstream limit of Chinook spawning.  Data collected at the two Stations may be compared to develop an understanding of the thermal regimes of a single spawning stream.",9,"09A","headwaters yukon","09AH","headwaters yukon - nordenskiold","","active","annual","NAD 83",62.28208333,-136.3105333,NA,"avf_09AH002","avf_09AH002","Tatchun River above Klondike Highway"
"Yukon River above the Klondike Highway #2","Seasonal - Mainstem river","YR Mid-Mainstem","Middle Yukon River & tributaries; CK-70 - Big Salmon; CK-68 Teslin River Headwaters; and CK-69 - Upper Yukon River","NAD 83 62 07.336 136 16.275","CN spawning downstream of Station; migration to upstream Watersheds.","2020","By foot from the Campbell Highway.","The Station replaces Yukon River above the Klondike Highway #1.  It is located on the right side of the Yukon River.",9,"09A","headwaters yukon","09AH","headwaters yukon - nordenskiold","09AH001","active","seasonal","NAD 83",62.12226667,-136.27125,NA,"avf_09AH004","avf_09AH004","Yukon River above the Klondike Highway #2"
